,Datetime,Tweet Id,Text
0,########,1.23E+18,"""Ensure Well-Being Of All Indians,"" Iran Urges India After Delhi Violence https://t.co/vSEdSFYCsp #NDTVNewsBeepsâ€¦ https://t.co/OgKCy2Q4lR"
1,########,1.23E+18,#KamalHaasan https://t.co/IS12NelZzd
2,########,1.23E+18,"#Watch | High hopes for BJP over Assam delimitation, opposition wary. 
 
 
 
 Read here: https://t.co/rK3Bx0hQZC https://t.co/p9UcDV0SbV"
3,########,1.23E+18,Coronavirus-Infected Techie Travelled From Bengaluru To Hyderabad: 10 Points https://t.co/opgkrHkmqI #NDTVNewsBeepsâ€¦ https://t.co/G3lQqr1cYu
4,########,1.23E+18,"""Ensure well-being of all Indians,"" Iran urges India after Delhi violence https://t.co/vSEdSFH13P https://t.co/isLDqfZ3Xq"
5,########,1.23E+18,"#Watch | ""Gaumutra, gobar may cure #coronavirus"": Assam BJP MLA Suman Haripriya in the state assembly.
 
 
 
 Read here:â€¦ https://t.co/B3DasVnXKJ"
6,########,1.23E+18,"Coronavirus-infected techie travelled from Bengaluru to Hyderabad https://t.co/opgkrHBXig
 
 
 
 #Coronavirus https://t.co/uBMudeGRN5"
7,########,1.23E+18,"Our doors open for ""good people"" from other parties: AAP leader Atishi https://t.co/pNVcdRhaTS https://t.co/zgvD4Zjvvg"
8,########,1.23E+18,"#Watch | In the aftermath of #DelhiViolence, night shelters turn into relief camps in the national capital. 
 
 
 
 Moreâ€¦ https://t.co/tZLBlzzFGl"
9,########,1.23E+18,"RT @moviesndtv: #SaraAliKhan Takes A Boat Ride Along Bustling Varanasi Ghats, Attends Ganga Aarti https://t.co/MTAbdtoMva https://t.co/PzZzâ€¦"
10,########,1.23E+18,"""Try roaming packs"": Union Minister's advice after Rahul Gandhi's PM jab https://t.co/Fans5fi7f1 https://t.co/ijBCDcXA4Q"
11,########,1.23E+18,"""Like I Have No Right To Live In India"": Retired Soldier In Delhi Shelter https://t.co/d3mjUBIgt7 #NDTVNewsBeeps https://t.co/JI76L0FVod"
12,########,1.23E+18,"Close escape for Pune woman after stalker puts gun to her head, misfires. https://t.co/XCMQmIkwai https://t.co/LyZtwlal29"
13,########,1.23E+18,Woman giving birth after twins not eligible for maternity benefits: Madras High Court. https://t.co/t5BEdPGIBR https://t.co/KtsvoUg3ea
14,########,1.23E+18,"Experience the redesigned NDTV app, now available on iPad. 
 
 
 
 New features âœ”
 
 New look âœ”
 
 
 
 Update your app or downloadâ€¦ https://t.co/XhmlayjMTn"
15,########,1.23E+18,"Top stories now on https://t.co/Fbzw6mR9Q5 
 
 
 
 #NDTVTopStories https://t.co/IelZqXs4uH"
16,########,1.23E+18,Elon Musk voices support for Twitter CEO after activist clash. https://t.co/ckEIkZj69z https://t.co/3RYJ23p8hV
17,########,1.23E+18,"Arvind Kejriwal-PM Meeting Today, First Since Taking Charge For New Term https://t.co/l9TYYK1Y42 #NDTVNewsBeeps https://t.co/zp6vqPdQGR"
18,########,1.23E+18,Air India Tells Crew Of Flight With Coronavirus Patient To Stay At Home https://t.co/IgLiKfSfVS #NDTVNewsBeeps https://t.co/Bo4jbLo4O8
